"","exp","Tissue"
"GTEX-ZF29-2626-SM-4WWBA",1.5319,"Nerve - Tibial"
"GTEX-1212Z-2726-SM-5EQ59",2.3049,"Nerve - Tibial"
"GTEX-13NYS-0426-SM-5MR4X",0.8523,"Nerve - Tibial"
"GTEX-ZYWO-2726-SM-5NQ6N",1.0954,"Nerve - Tibial"
"GTEX-Z93S-0826-SM-5HL7Y",3.2289,"Nerve - Tibial"
"GTEX-13N1W-0426-SM-5MR46",2.6826,"Nerve - Tibial"
"GTEX-13W3W-2726-SM-5SIAE",0.4388,"Nerve - Tibial"
"GTEX-145LU-0726-SM-5QGP2",3.2966,"Nerve - Tibial"
"GTEX-131XE-2526-SM-5EQ57",1.0451,"Nerve - Tibial"
"GTEX-13IVO-0426-SM-5LZY7",0.7996,"Nerve - Tibial"
"GTEX-12ZZX-0426-SM-5DUVT",2.998,"Nerve - Tibial"
"GTEX-13QIC-1426-SM-5LU4V",1.5157,"Nerve - Tibial"
"GTEX-13D11-2626-SM-5IJDB",2.0393,"Nerve - Tibial"
"GTEX-ZP4G-2226-SM-57WFB",2.0658,"Nerve - Tibial"
"GTEX-ZLV1-2026-SM-5EQMB",2.7255,"Nerve - Tibial"
"GTEX-139TT-0326-SM-5IJC3",3.0078,"Nerve - Tibial"
"GTEX-145MO-0526-SM-5Q5F7",1.7933,"Nerve - Tibial"
"GTEX-13O3P-0326-SM-5K7VM",0.9574,"Nerve - Tibial"
"GTEX-11EI6-0426-SM-5EQ43",1.9518,"Nerve - Tibial"
"GTEX-X15G-2526-SM-4PQZT",1.3828,"Nerve - Tibial"
"GTEX-ZC5H-0526-SM-5HL9E",3.9577,"Nerve - Tibial"
"GTEX-11H98-0426-SM-5HL55",1.6676,"Nerve - Tibial"
"GTEX-13FHO-0526-SM-5K7VS",2.3936,"Nerve - Tibial"
"GTEX-ZVTK-0826-SM-5GZXI",3.9608,"Nerve - Tibial"
"GTEX-13OVL-1526-SM-5K7WA",2.7345,"Nerve - Tibial"
"GTEX-139T8-0326-SM-5IJCM",2.2274,"Nerve - Tibial"
"GTEX-Y5LM-2226-SM-4VDT1",1.3632,"Nerve - Tibial"
"GTEX-YJ8A-0726-SM-5Q5A6",0.8637,"Nerve - Tibial"
"GTEX-YB5E-2326-SM-5IFIJ",2.394,"Nerve - Tibial"
"GTEX-ZZ64-1426-SM-5NQ8C",1.0335,"Nerve - Tibial"
"GTEX-13OVI-1526-SM-5K7VX",1.8172,"Nerve - Tibial"
"GTEX-ZQUD-1226-SM-51MSP",0.4787,"Nerve - Tibial"
"GTEX-12WSK-2626-SM-5GCOT",1.8655,"Nerve - Tibial"
"GTEX-13VXT-0426-SM-5LU57",2.2821,"Nerve - Tibial"
"GTEX-13NYC-0626-SM-5K7U8",1.1628,"Nerve - Tibial"
"GTEX-14A6H-2626-SM-5NQBO",3.8591,"Nerve - Tibial"
"GTEX-ZTX8-1726-SM-51MSB",1.4291,"Nerve - Tibial"
"GTEX-11GSO-2626-SM-5Q5AK",3.6514,"Nerve - Tibial"
"GTEX-12WSD-0326-SM-59HKP",2.4032,"Nerve - Tibial"
"GTEX-113IC-0526-SM-5HL76",3.7195,"Nerve - Tibial"
"GTEX-146FR-1426-SM-5SIAV",2.0081,"Nerve - Tibial"
"GTEX-13QBU-2326-SM-5LU49",3.9565,"Nerve - Tibial"
"GTEX-ZVE2-0426-SM-59HJ7",0.8074,"Nerve - Tibial"
"GTEX-11DYG-0426-SM-5987J",1.8572,"Nerve - Tibial"
"GTEX-146FQ-0426-SM-5NQBA",0.6572,"Nerve - Tibial"
"GTEX-Y114-2626-SM-4TT8Y",0.6273,"Nerve - Tibial"
"GTEX-13O3Q-2626-SM-5KM3S",3.1974,"Nerve - Tibial"
"GTEX-131XH-2526-SM-5GCND",1.6995,"Nerve - Tibial"
"GTEX-ZPCL-2426-SM-57WFP",1.5584,"Nerve - Tibial"
"GTEX-132NY-0526-SM-5EQ4V",2.8698,"Nerve - Tibial"
"GTEX-11LCK-1326-SM-5Q5AN",1.5219,"Nerve - Tibial"
"GTEX-ZYFD-0426-SM-5E45X",1.4331,"Nerve - Tibial"
"GTEX-139T4-0426-SM-5J1OQ",1.9131,"Nerve - Tibial"
"GTEX-Y5V5-2626-SM-5IFJM",3.3363,"Nerve - Tibial"
"GTEX-13RTJ-2826-SM-5QGQH",2.1656,"Nerve - Tibial"
"GTEX-11P82-1926-SM-5Q5AU",1.1251,"Nerve - Tibial"
"GTEX-ZDYS-1526-SM-4WKFY",0.372,"Nerve - Tibial"
"GTEX-ZYFC-0626-SM-5GIDR",5.9829,"Nerve - Tibial"
"GTEX-12WSB-0426-SM-5BC6H",4.0559,"Nerve - Tibial"
"GTEX-13OW6-0226-SM-5J1NB",2.1068,"Nerve - Tibial"
"GTEX-13O21-1826-SM-5MR5M",0.839,"Nerve - Tibial"
"GTEX-13113-2026-SM-5LZU3",1.3269,"Nerve - Tibial"
"GTEX-145LT-1926-SM-5QGP5",0.917,"Nerve - Tibial"
"GTEX-ZVZP-2626-SM-51MR4",1.1398,"Nerve - Tibial"
"GTEX-1477Z-1526-SM-5SI9V",2.4087,"Nerve - Tibial"
