"","exp","Tissue"
"GTEX-14753-2426-SM-5LU8U",0.1907,"Breast - Mammary Tissue"
"GTEX-12WSN-1326-SM-5GCNT",0.6789,"Breast - Mammary Tissue"
"GTEX-ZVE2-1226-SM-5NQ8R",1.2545,"Breast - Mammary Tissue"
"GTEX-12WSM-1726-SM-5BC6J",0.0533,"Breast - Mammary Tissue"
"GTEX-ZQG8-0726-SM-5P9H9",0.2723,"Breast - Mammary Tissue"
"GTEX-XMD2-0926-SM-4WWEF",1.0286,"Breast - Mammary Tissue"
"GTEX-ZVTK-0326-SM-51MRR",2.1177,"Breast - Mammary Tissue"
"GTEX-ZA64-1526-SM-5CVMD",0.1453,"Breast - Mammary Tissue"
"GTEX-Y8E4-1626-SM-5S2MW",0.2965,"Breast - Mammary Tissue"
"GTEX-145LT-0726-SM-5S2VM",2.0182,"Breast - Mammary Tissue"
"GTEX-13OW5-2226-SM-5L3HC",4.8385,"Breast - Mammary Tissue"
"GTEX-ZAB4-2526-SM-5HL8M",0.3347,"Breast - Mammary Tissue"
"GTEX-13FTW-1426-SM-5LZWZ",0.527,"Breast - Mammary Tissue"
"GTEX-11O72-2126-SM-5N9FO",0.8333,"Breast - Mammary Tissue"
"GTEX-11EMC-2026-SM-5A5JV",2.3439,"Breast - Mammary Tissue"
"GTEX-ZZ64-1226-SM-5E43R",0.1878,"Breast - Mammary Tissue"
"GTEX-ZTX8-1226-SM-4YCE9",4.1183,"Breast - Mammary Tissue"
"GTEX-ZF2S-2026-SM-5E461",8.8552,"Breast - Mammary Tissue"
"GTEX-12WSK-2226-SM-5GCO5",0.2361,"Breast - Mammary Tissue"
"GTEX-12ZZX-1126-SM-5EGKB",4.2556,"Breast - Mammary Tissue"
"GTEX-11WQK-2426-SM-5GU5C",0,"Breast - Mammary Tissue"
"GTEX-13W46-0826-SM-5LU3H",0.1779,"Breast - Mammary Tissue"
"GTEX-13N11-1726-SM-5J1OJ",4.0585,"Breast - Mammary Tissue"
"GTEX-ZF3C-2326-SM-5S2MZ",2.8257,"Breast - Mammary Tissue"
